Date,Open,High,Low,Close,Adj Close,Volume
2022-10-15,1.009379,1.010240,1.005429,1.008194,1.008194,771094
2022-10-16,1.008235,1.012946,1.006314,1.007977,1.007977,1075279
2022-10-17,1.007990,1.013782,1.001747,1.008477,1.008477,3911877
2022-10-18,1.008466,1.011247,1.003048,1.007037,1.007037,2597485
2022-10-19,1.007058,1.008778,1.001700,1.004787,1.004787,5940350
2022-10-20,1.004742,1.010445,1.001757,1.002919,1.002919,2649086
2022-10-21,1.002917,1.009823,0.998207,1.003966,1.003966,2838659
2022-10-22,1.003954,1.006059,0.998207,1.003264,1.003264,158381
2022-10-23,1.003081,1.013318,0.998724,1.006862,1.006862,815409
2022-10-24,1.006923,1.009907,1.000226,1.004284,1.004284,1988063
2022-10-25,1.004225,1.020810,1.001780,1.006653,1.006653,3916091
2022-10-26,1.006143,1.020068,1.004429,1.010072,1.010072,3534506
2022-10-27,1.010148,1.013819,1.004229,1.009638,1.009638,5817610
2022-10-28,1.009630,1.017296,1.004136,1.008367,1.008367,6737233
2022-10-29,1.008353,1.015096,1.005805,1.009530,1.009530,3858835
2022-10-30,1.009517,1.012147,1.004828,1.010323,1.010323,4963602
2022-10-31,1.010298,1.013680,1.005406,1.010442,1.010442,3267843
2022-11-01,1.010492,1.012772,1.005594,1.009946,1.009946,2298128
2022-11-02,1.009879,1.015996,1.003035,1.008962,1.008962,5070165
2022-11-03,1.009018,1.013634,1.005090,1.008823,1.008823,4696312
2022-11-04,1.009021,1.025399,1.005990,1.013161,1.013161,2423777
2022-11-05,1.013889,1.014093,1.005365,1.006041,1.006041,961901
2022-11-06,1.005712,1.013015,1.003550,1.011539,1.011539,605903
2022-11-07,1.011517,1.016997,1.002455,1.010338,1.010338,3186146
2022-11-08,1.010311,1.019562,0.948638,0.972854,0.972854,1624668
2022-11-09,0.972959,1.012695,0.968202,1.002725,1.002725,8516802
2022-11-10,1.002067,1.026467,0.987584,0.997753,0.997753,4331429
2022-11-11,0.997641,1.017711,0.990190,1.005903,1.005903,495949
2022-11-12,1.005687,1.008264,0.992266,1.000712,1.000712,460606
2022-11-13,1.000789,1.006723,0.994997,1.003861,1.003861,630198
2022-11-14,1.004058,1.012576,0.987408,1.001770,1.001770,15293912
2022-11-15,1.002123,1.005915,0.995647,0.999096,0.999096,13107498
2022-11-16,1.000036,1.005313,0.994683,1.001400,1.001400,5106422
2022-11-17,1.001430,1.009701,0.998007,1.000890,1.000890,11851703
2022-11-18,1.000826,1.007431,0.997857,1.002131,1.002131,5137059
2022-11-19,1.001327,1.006818,0.999725,1.003992,1.003992,13743179
2022-11-20,1.004080,1.005486,0.990061,1.002575,1.002575,5429918
2022-11-21,1.002608,1.007844,0.994221,1.003440,1.003440,12251267
2022-11-22,1.003567,1.011958,0.995482,1.005371,1.005371,10059134
2022-11-23,1.005056,1.012340,0.999632,1.007734,1.007734,7662033
2022-11-24,1.008199,1.010366,0.999556,1.004493,1.004493,2385981
2022-11-25,1.004316,1.006710,0.998332,1.003867,1.003867,4225220
2022-11-26,1.003864,1.008831,1.000485,1.004401,1.004401,9095130
2022-11-27,1.004268,1.008538,1.000039,1.002954,1.002954,1824268
2022-11-28,1.002955,1.006683,0.996049,1.004543,1.004543,4138036
2022-11-29,1.004339,1.011218,0.999696,1.001824,1.001824,11793222
2022-11-30,1.001823,1.017339,0.999279,1.003905,1.003905,12002379
2022-12-01,1.004126,1.008214,0.998618,1.000634,1.000634,11198399
2022-12-02,1.000786,1.007125,0.998703,1.005571,1.005571,17756628
2022-12-03,1.005810,1.007344,0.996946,1.003808,1.003808,8198799
2022-12-04,1.001906,1.007607,0.997978,1.004499,1.004499,19593016
